AGER_TYP;ALTERSKATEGORIE_GROB;ANREDE_KZ;CJT_GESAMTTYP;FINANZ_MINIMALIST;FINANZ_SPARER;FINANZ_VORSORGER;FINANZ_ANLEGER;FINANZ_UNAUFFAELLIGER;FINANZ_HAUSBAUER;FINANZTYP;GEBURTSJAHR;GFK_URLAUBERTYP;GREEN_AVANTGARDE;HEALTH_TYP;LP_LEBENSPHASE_FEIN;LP_LEBENSPHASE_GROB;LP_FAMILIE_FEIN;LP_FAMILIE_GROB;LP_STATUS_FEIN;LP_STATUS_GROB;NATIONALITAET_KZ;PRAEGENDE_JUGENDJAHRE;RETOURTYP_BK_S;SEMIO_SOZ;SEMIO_FAM;SEMIO_REL;SEMIO_MAT;SEMIO_VERT;SEMIO_LUST;SEMIO_ERL;SEMIO_KULT;SEMIO_RAT;SEMIO_KRIT;SEMIO_DOM;SEMIO_KAEM;SEMIO_PFLICHT;SEMIO_TRADV;SHOPPER_TYP;SOHO_KZ;TITEL_KZ;VERS_TYP;ZABEOTYP;ALTER_HH;ANZ_PERSONEN;ANZ_TITEL;HH_EINKOMMEN_SCORE;KK_KUNDENTYP;W_KEIT_KIND_HH;WOHNDAUER_2008;ANZ_HAUSHALTE_AKTIV;ANZ_HH_TITEL;GEBAEUDETYP;KONSUMNAEHE;MIN_GEBAEUDEJAHR;OST_WEST_KZ;WOHNLAGE;CAMEO_DEUG_2015;CAMEO_DEU_2015;CAMEO_INTL_2015;KBA05_ANTG1;KBA05_ANTG2;KBA05_ANTG3;KBA05_ANTG4;KBA05_BAUMAX;KBA05_GBZ;BALLRAUM;EWDICHTE;INNENSTADT;GEBAEUDETYP_RASTER;KKK;MOBI_REGIO;ONLINE_AFFINITAET;REGIOTYP;KBA13_ANZAHL_PKW;PLZ8_ANTG1;PLZ8_ANTG2;PLZ8_ANTG3;PLZ8_ANTG4;PLZ8_BAUMAX;PLZ8_HHZ;PLZ8_GBZ;ARBEIT;ORTSGR_KLS9;RELAT_AB
-1;2;1;2;3;4;3;5;5;3;4;0;10;0;-1;15;4;2;2;1;1;0;0;5;2;6;7;5;1;5;3;3;4;7;6;6;5;3;-1;;;-1;3;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
-1;1;2;5;1;5;2;5;4;5;1;1996;10;0;3;21;6;5;3;2;1;1;14;1;5;4;4;3;1;2;2;3;6;4;7;4;7;6;3;1;0;2;5;0;2;0;6;;3;9;11;0;8;1;1992;W;4;8;8A;51;0;0;0;2;5;1;6;3;8;3;2;1;3;3;963;2;3;2;1;1;5;4;3;5;4
-1;3;2;3;1;4;1;2;3;5;1;1979;10;1;3;3;1;1;1;3;2;1;15;3;4;1;3;3;4;4;6;3;4;7;7;7;3;3;2;0;0;1;5;17;1;0;4;;3;9;10;0;1;5;1992;W;2;4;4C;24;1;3;1;0;0;3;2;4;4;4;2;3;2;2;712;3;3;1;0;1;4;4;3;5;2
2;4;2;2;4;2;5;2;1;2;6;1957;1;0;2;0;0;0;0;9;4;1;8;2;5;1;2;1;4;4;7;4;3;4;4;5;4;4;1;0;0;1;3;13;0;0;1;;;9;1;0;1;4;1997;W;7;2;2A;12;4;1;0;0;1;4;4;2;6;4;0;4;1;0;596;2;2;2;0;1;3;4;2;3;3
-1;3;1;5;4;3;4;1;3;2;5;1963;5;0;3;32;10;10;5;3;2;1;8;5;6;4;4;2;7;4;4;6;2;3;2;2;4;2;2;0;0;2;4;20;4;0;5;1;2;9;3;0;1;4;1992;W;3;6;6B;43;1;4;1;0;0;3;2;5;1;5;3;3;5;5;435;2;4;2;1;2;3;3;4;6;5
3;1;2;2;3;1;5;2;2;5;2;1943;1;0;3;8;2;1;1;4;2;1;3;3;2;4;7;4;2;2;2;5;7;4;4;4;7;6;0;0;0;2;4;10;1;0;5;3;6;9;5;0;1;5;1992;W;7;8;8C;54;2;2;0;0;0;4;6;2;7;4;4;4;1;5;1300;2;3;1;1;1;5;5;2;3;3
-1;2;2;5;1;5;1;5;4;3;4;0;12;0;2;2;1;1;1;2;1;1;10;4;2;5;5;7;2;6;5;5;7;7;4;7;7;7;1;0;0;1;4;0;1;0;6;;3;9;4;0;1;5;1992;W;5;4;4A;22;3;2;0;0;1;3;6;4;3;5;3;5;2;5;867;3;3;1;0;1;5;5;4;6;3
-1;1;1;3;3;3;4;1;3;2;5;1964;9;0;1;5;2;1;1;1;1;1;8;5;7;7;7;5;6;2;2;7;5;1;1;2;5;5;0;0;0;1;1;14;1;0;4;;5;9;6;0;8;3;1992;W;1;2;2D;14;2;2;0;0;0;4;2;5;3;4;1;4;1;1;758;3;3;1;0;1;4;4;2;5;2
-1;3;1;3;4;4;2;4;2;2;6;1974;3;1;3;10;3;1;1;10;5;1;11;4;4;5;4;1;5;6;4;5;2;5;5;3;1;4;3;0;0;2;6;16;1;0;3;;5;8;2;1;3;4;1992;W;1;1;1A;13;1;1;0;0;0;5;3;4;4;4;1;3;2;3;511;2;3;2;1;1;3;3;2;4;3
-1;3;2;4;2;4;2;3;5;4;1;1975;12;1;2;4;1;1;1;3;2;1;15;4;2;1;1;3;2;6;6;3;4;7;6;7;1;3;3;0;0;2;4;17;1;0;4;6;4;3;9;0;3;4;1992;W;7;1;1E;15;1;3;1;0;0;2;6;5;4;3;1;3;3;1;530;2;3;2;1;1;3;3;2;3;1
